Top Edtech Funding Rounds Recorded in H1 2020 in India,,,
Startup,Funding amount (US$ million),Investor,EdTech sub-segment
Byjuâ€™s,US$200 million,"Tiger Global, General Atlantic, Bond Capital",Test preparation
Unacademy,US$110 million,"Facebook, Sequoia India, Blume Ventures",Test preparation
Vedantu,US$43.3 million,"GGV Capital, Legend Capital, Omidyar Network",Test preparation
Doubtnut,US$15 million,"Tencent, Omidyar Network, Sequoia India",Test preparation
Embibe,US$12.6 million,Reliance Industries Limited,Test preparation
Testbook.com,US$8.3 million,Iron Pillar,Test preparation
Interview Bit,US$20 million,"Sequoia India, Tiger Global, Global Founders Capital",Skill development
Classplus,US$10.7 million,"Blume Ventures, Kunal Shah, Alvin Tse",Enterprise solution
Lido,US$10.5 million,"BAce Capital, Picus Capital, Madhur Deora",K-12
Coding Ninjas,US$5.2 million,Info Edge,Online certification